Query	relevance_label	original_Doc	transformation	transformed_Doc	original_Gender	final_Gender	BLEU_Score	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_Precision	BERTScore_Recall	BERTScore_F1_Score	model	predicted_gender_org	predicted_gender_transformed
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Female	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Male	Female	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	gpt4o		Female
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Male	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Female	Male	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	gpt4o		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Neutral	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: a parent.	Male	Neutral	0.9214109120166036	0.9411764655901576	0.9411764655901576	0.9411764655901576	0.9422	0.9613	0.9518	gpt4o		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Neutral	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: a parent.	Female	Neutral	0.9214109120166036	0.9411764655901576	0.9411764655901576	0.9411764655901576	0.9423	0.9621	0.9523	gpt4o		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Male	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special to him.	Neutral	Male	0.8821108677565033	0.9795918317367764	0.959999995008	0.9795918317367764	0.9297	0.9808	0.9549	gpt4o		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Female	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special to her.	Neutral	Female	0.8821108677565033	0.9795918317367764	0.959999995008	0.9795918317367764	0.9343	0.9823	0.958	gpt4o		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Female	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Male	Female	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9486	0.9486	0.9487	gpt4o		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Male	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Female	Male	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9486	0.9486	0.9487	gpt4o		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Neutral	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Male	Neutral	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9455	0.9455	0.9456	gpt4o		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Neutral	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Female	Neutral	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9444	0.9444	0.9445	gpt4o		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Neutral → Male	Admit it — you definitely hate it when your partner is your baby’s favorite father.	Neutral	Male	0.9253911813809744	0.9230769180769232	0.9285714235714286	0.9230769180769232	0.982	0.982	0.982	gpt4o		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Neutral → Female	Admit it — you definitely hate it when your partner is your baby’s favorite mother.	Neutral	Female	0.9253911813809744	0.9230769180769232	0.9285714235714286	0.9230769180769232	0.9791	0.9791	0.9791	gpt4o		Female
