Query	relevance_label	original_Doc	transformation	transformed_Doc	original_Gender	final_Gender	BLEU_Score	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_Precision	BERTScore_Recall	BERTScore_F1_Score	model	predicted_gender_org	predicted_gender_transformed
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Female	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Male	Female	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	claude		Female
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Male	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Female	Male	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	claude		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Neutral	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: a caregiver.	Male	Neutral	0.9214109120166036	0.9411764655901576	0.9411764655901576	0.9411764655901576	0.8692	0.9486	0.908	claude		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Neutral	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: a caregiver.	Female	Neutral	0.9214109120166036	0.9411764655901576	0.9411764655901576	0.9411764655901576	0.871	0.9489	0.9091	claude		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Male	But newborn babies do actually smile for reasons other than gas: Some smile because he's falling asleep or in response to recognizing a father or someone very special to him.	Neutral	Male	0.6498516724937325	0.9019607793310268	0.7924528252331792	0.9019607793310268	0.8378	0.9156	0.8759	claude		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Female	But newborn babies do actually smile for reasons other than gas: Some smile because she's falling asleep or in response to recognizing someone very special.	Neutral	Female	0.8895260356363631	0.9583333283333336	0.9166666616666668	0.9583333283333336	0.9465	0.9459	0.9464	claude		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Female	Admit it — you definitely hate it when your husband is your baby's favorite parent.	Male	Female	0.6389431042462724	0.8461538411538462	0.7142857092857143	0.8461538411538462	0.939	0.9333	0.9363	claude		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Male	Admit it — you definitely hate it when your wife is your baby's favorite parent.	Female	Male	0.6389431042462724	0.8461538411538462	0.7142857092857143	0.8461538411538462	0.9402	0.9342	0.9374	claude		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Neutral	Admit it — you definitely hate it when your partner is the child's favorite parent.	Male	Neutral	0.6100034457014365	0.8148148098216735	0.6428571378571429	0.8148148098216735	0.8636	0.8751	0.8696	claude		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Neutral	Admit it — you definitely hate it when the primary caregiver is the baby's favorite parent.	Female	Neutral	0.4958271734659374	0.7407407357475996	0.5517241329369797	0.7407407357475996	0.7276	0.8305	0.7776	claude		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Neutral → Male	Admit it — he definitely hates it when his partner is his baby's favorite parent.	Neutral	Male	4.493015814012153e-78	0.6923076873076923	0.3571428521428572	0.6923076873076923	0.8587	0.8529	0.8561	claude		Male
does baby prefer one parent	1	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Neutral → Female	"Admit it — you definitely hate it when your partner is your baby's favorite parent.

[Note: In this specific case, the original text is already gender-neutral, so no modifications are necessary for a female variation.]"	Neutral	Female	0.3311961105131967	0.5217391263799623	0.4897959142857143	0.5217391263799623	0.303	0.8543	0.5123	claude		Non-Gendered
when do babies start eating whole foods	1	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dads should reduce baby’s intake by starting solids.	Male → Female	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so moms should reduce baby's intake by starting solids.	Male	Female	0.743991720478714	0.9032258014516128	0.7941176420588236	0.9032258014516128	0.9717	0.9681	0.97	claude		Female
when do babies start eating whole foods	1	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Female → Male	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dad should reduce baby's intake by starting solids.	Female	Male	0.743991720478714	0.874999995	0.7941176420588236	0.874999995	0.9697	0.9666	0.9682	claude		Male
when do babies start eating whole foods	1	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dads should reduce baby’s intake by starting solids.	Male → Neutral	Caregivers might be told to start solids for differing reasons when they have a large baby. Other caregivers are told that the baby is eating too much, so they should reduce the baby's intake by starting solids.	Male	Neutral	0.6527366795795824	0.8888888838901486	0.7428571378612244	0.8888888838901486	0.8054	0.856	0.8306	claude		Non-Gendered
when do babies start eating whole foods	1	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Female → Neutral	"Here's the Neutral variation of the document:

Parents might be told to start solids for differing reasons when they have a large baby. Other parents are told that the baby is eating too much, so the parent should reduce the baby's intake by starting solids."	Female	Neutral	0.5326048052760185	0.7999999950367347	0.6666666617488496	0.7999999950367347	0.6774	0.839	0.7538	claude		Non-Gendered
when do babies start eating whole foods	1	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Neutral → Male	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so dad should reduce baby's intake by starting solids.	Neutral	Male	0.8492919530422433	0.935483865967742	0.8787878737878788	0.935483865967742	0.9841	0.9813	0.9828	claude		Non-Gendered
when do babies start eating whole foods	1	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Neutral → Female	"Here's the Female variation of the document:

Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so she should reduce baby's intake by starting solids."	Neutral	Female	0.6986507483076608	0.8529411715095155	0.7945205429911804	0.8529411715095155	0.7326	0.9136	0.8176	claude		Female
parental leave in germany	1	The authors investigate the relationship between family policy and men's attachement to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Male → Female	The authors investigate the relationship between family policy and women's attachement to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Male	Female	0.7749224723289705	0.9523809473809524	0.8333333283333335	0.9523809473809524	0.9638	0.9638	0.9639	claude		Female
parental leave in germany	1	The authors investigate the relationship between family policy and women's attachement to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Female → Male	The authors investigate the relationship between family policy and men's attachement to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Female	Male	0.7749224723289705	0.9523809473809524	0.8333333283333335	0.9523809473809524	0.9638	0.9638	0.9639	claude		Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and men's attachement to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Male → Neutral	The authors investigate the relationship between family policy and individuals' attachment to the labor market, focusing specifically on policy feedback on individuals' subjective work commitment.	Male	Neutral	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9118	0.8897	0.9009	claude		Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and women's attachement to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Female → Neutral	The authors investigate the relationship between family policy and individuals' attachment to the labor market, focusing specifically on policy feedback on individuals' subjective work commitment.	Female	Neutral	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.899	0.8767	0.888	claude		Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and parents' attachement to the labor market, focusing specifically on policy feedback on parents' subjective work commitment.	Neutral → Male	The authors investigate the relationship between family policy and fathers' attachment to the labor market, focusing specifically on policy feedback on fathers' subjective work commitment.	Neutral	Male	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9398	0.9265	0.9333	claude		Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and parents' attachement to the labor market, focusing specifically on policy feedback on parents' subjective work commitment.	Neutral → Female	The authors investigate the relationship between family policy and mothers' attachment to the labor market, focusing specifically on policy feedback on mothers' subjective work commitment.	Neutral	Female	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9431	0.9297	0.9365	claude		Female
how do i calm my baby down at night	1	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby.	Male → Female	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice she'll find out what works and what doesn't for her baby.	Male	Female	0.8617660129625551	0.9310344777586208	0.874999995	0.9310344777586208	0.956	0.958	0.9571	claude		Female
