Query	relevance_label	original_Doc	transformation	transformed_Doc	original_Gender	final_Gender	BLEU_Score	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_Precision	BERTScore_Recall	BERTScore_F1_Score	model	predicted_gender_org	predicted_gender_transformed
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Female	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Male	Female	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	llama		Female
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Male	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Female	Male	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	llama		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Neutral	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: their parent.	Male	Neutral	0.9214109120166036	0.9411764655901576	0.9411764655901576	0.9411764655901576	0.9439	0.956	0.9501	llama		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Neutral	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: their parent.	Female	Neutral	0.9214109120166036	0.9411764655901576	0.9411764655901576	0.9411764655901576	0.9424	0.9543	0.9485	llama		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Male	But newborn babies do actually smile for reasons other than gas: Some smile because he's falling asleep or in response to recognizing his father.	Neutral	Male	0.76232015509242	0.8510638247894976	0.808510633300136	0.8510638247894976	0.8808	0.8403	0.8606	llama		Male
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Female	"But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special. 

(Note: The original document does not contain any gender-specific language, so no modifications are necessary to create a Female variation.)"	Neutral	Female	0.5397960568335699	0.7058823483737025	0.6956521693761816	0.7058823483737025	0.4843	0.9151	0.6633	llama		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Female	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Male	Female	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9486	0.9486	0.9487	llama		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Male	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Female	Male	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9486	0.9486	0.9487	llama		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Neutral	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Male	Neutral	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9455	0.9455	0.9456	llama		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Neutral	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Female	Neutral	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9444	0.9444	0.9445	llama		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Neutral → Male	Admit it — he definitely hates it when his partner is his baby’s favorite parent.	Neutral	Male	5.727154892587527e-78	0.7692307642307693	0.4285714235714286	0.7692307642307693	0.8673	0.8673	0.8676	llama		Male
does baby prefer one parent	1	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Neutral → Female	"Admit it — you definitely hate it when your partner is your baby's favorite parent. 

becomes 

Admit it — she definitely hates it when her partner is her baby's favorite parent."	Neutral	Female	0.3761648431086742	0.7999999950888891	0.6315789427146814	0.7999999950888891	0.7174	0.8451	0.7787	llama		Female
when do babies start eating whole foods	1	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dads should reduce baby’s intake by starting solids.	Male → Female	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so moms should reduce baby’s intake by starting solids.	Male	Female	0.8151913639513584	0.935483865967742	0.8529411714705883	0.935483865967742	0.9772	0.9772	0.9773	llama		Female
when do babies start eating whole foods	1	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Female → Male	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dad should reduce baby’s intake by starting solids.	Female	Male	0.8151913639513584	0.906249995	0.8529411714705883	0.906249995	0.9759	0.9759	0.976	llama		Male
when do babies start eating whole foods	1	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dads should reduce baby’s intake by starting solids.	Male → Neutral	Parents might be told to start solids for differing reasons when they have a large baby. Other parents are told that baby is eating too much, so parents should reduce baby’s intake by starting solids.	Male	Neutral	0.8151913639513584	0.935483865967742	0.8529411714705883	0.935483865967742	0.9515	0.9162	0.9338	llama		Non-Gendered
when do babies start eating whole foods	1	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Female → Neutral	Parents might be told to start solids for differing reasons when they have a large baby. Other parents are told that baby is eating too much, so the parent should reduce baby’s intake by starting solids.	Female	Neutral	0.791537399130509	0.8923076873088758	0.8405797051459778	0.8923076873088758	0.933	0.9255	0.9294	llama		Non-Gendered
when do babies start eating whole foods	1	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Neutral → Male	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so dad should reduce baby’s intake by starting solids.	Neutral	Male	0.9210500207490828	0.9677419304838712	0.9393939343939396	0.9677419304838712	0.9908	0.9908	0.9908	llama		Non-Gendered
when do babies start eating whole foods	1	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Neutral → Female	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so mother should reduce baby’s intake by starting solids.	Neutral	Female	0.9210500207490828	0.9677419304838712	0.9393939343939396	0.9677419304838712	0.9896	0.9896	0.9896	llama		Female
parental leave in germany	1	The authors investigate the relationship between family policy and men's attachement to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Male → Female	The authors investigate the relationship between family policy and women's attachment to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Male	Female	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.931	0.9155	0.9234	llama		Female
parental leave in germany	1	The authors investigate the relationship between family policy and women's attachement to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Female → Male	The authors investigate the relationship between family policy and men's attachment to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Female	Male	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9265	0.911	0.9189	llama		Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and men's attachement to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Male → Neutral	The authors investigate the relationship between family policy and individuals' attachment to the labor market, focusing specifically on policy feedback on people's subjective work commitment.	Male	Neutral	0.7315339097995036	0.8837209252352624	0.7916666616666667	0.8837209252352624	0.9115	0.8907	0.9013	llama		Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and women's attachement to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Female → Neutral	The authors investigate the relationship between family policy and individuals' attachment to the labor market, focusing specifically on policy feedback on people's subjective work commitment.	Female	Neutral	0.7315339097995036	0.8837209252352624	0.7916666616666667	0.8837209252352624	0.9022	0.8817	0.8921	llama		Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and parents' attachement to the labor market, focusing specifically on policy feedback on parents' subjective work commitment.	Neutral → Male	The authors investigate the relationship between family policy and fathers' attachment to the labor market, focusing specifically on policy feedback on fathers' subjective work commitment.	Neutral	Male	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9398	0.9265	0.9333	llama		Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and parents' attachement to the labor market, focusing specifically on policy feedback on parents' subjective work commitment.	Neutral → Female	The authors investigate the relationship between family policy and mothers' attachment to the labor market, focusing specifically on policy feedback on mothers' subjective work commitment.	Neutral	Female	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9431	0.9297	0.9365	llama		Female
how do i calm my baby down at night	1	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby.	Male → Female	Here are ways you can try to comfort a crying baby. She may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby, and her mother will appreciate the effort.	Male	Female	0.7252510836426073	0.8615384565964498	0.8169014034993058	0.8615384565964498	0.8285	0.9481	0.8861	llama		Female
