Query	relevance_label	original_Doc	transformation	transformed_Doc	original_Gender	final_Gender	BLEU_Score	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_Precision	BERTScore_Recall	BERTScore_F1_Score	model	predicted_gender_org	predicted_gender_transformed
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Female	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Male	Female	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	phi4		Female
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Male	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Female	Male	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	phi4		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Neutral	But newborns do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Male	Neutral	0.8063678897798028	0.8749999950086805	0.8333333283420139	0.8749999950086805	0.9383	0.8866	0.9122	phi4		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Neutral	But newborns do actually smile for reasons other than gas: Some smile because they’re falling asleep or in response to recognizing a very special person.	Female	Neutral	0.6232576156952285	0.7755101990837152	0.6530612194918785	0.7755101990837152	0.8803	0.8506	0.8656	phi4		Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Male	But newborn boys do actually smile for reasons other than gas: Some smile because he's falling asleep or in response to recognizing his father.	Neutral	Male	0.659866655329832	0.808510633300136	0.7234042503214125	0.808510633300136	0.8641	0.8249	0.8446	phi4		Male
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Female	But newborn girls do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral	Female	0.9016312132446728	0.9583333283333336	0.9166666616666668	0.9583333283333336	0.9788	0.9788	0.9789	phi4		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Female	"Admit it — you definitely hate it when your mother-in-law is your child's favorite caretaker. 

You can't help but feel a pang of jealousy every time your little one snuggles up to her, preferring her gentle touch and soothing voice over yours. She seems to have an innate ability to calm your baby down with just the right lullaby or a soft stroke of her hand.

It's not that you don't love being involved in your child's life; it's just frustrating when every time there's a fuss, she swoops in like some maternal superhero and makes everything better. You wish they would ask for you too, to give you a chance to show off your own parenting skills.

During family gatherings, the situation doesn’t improve either. Your mother-in-law is always at her side, offering advice or simply being there with that knowing smile of hers. While you appreciate her support and love for your child, it sometimes feels like she's taking over the role of primary caregiver.

You know deep down that every parent has their strengths and weaknesses, but watching your spouse light up whenever she shows up makes you question your own place in this dynamic. It’s tough not to take it personally when your little one reaches out for her first thing in the morning or falls asleep in her arms at night.

Despite these feelings, you understand that everyone loves a child's happiness and comfort. You try to remind yourself that she is genuinely invested in the well-being of your family and that her intentions are pure.

So while you might grumble about it to yourself — maybe even let your spouse know how you feel — deep down, you're grateful for her presence. After all, raising a child is not a solo endeavor, and having such a supportive grandmother figure can make the journey a bit easier, even if it means sharing the spotlight.

In the end, you realize that what matters most is seeing your child happy and loved, no matter who they turn to at any given moment."	Male	Female	0.0238915221840265	0.0960698679247153	0.0517241371588056	0.0873362434705669	0.0381	0.6814	0.2476	phi4		Female
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Male	"Admit it — you definitely hate it when your boyfriend is your baby’s favorite parent.  
It's tough to watch him bonding with your child, especially if he seems more patient or has a way of making the little one laugh effortlessly. You might find yourself feeling jealous or even left out at times. It can be challenging not to question why your partner always ends up being the go-to parent for bedtime stories or playtime.

However, it's essential to remember that this situation isn't about competition but rather about finding balance and partnership in parenting. Your boyfriend doesn’t love your child more than you do; he just expresses his affection differently. Maybe he’s great at entertaining the baby with games or has a soothing way of putting him to sleep. That doesn't diminish your role as a parent.

Take this opportunity to observe what makes your partner so effective and consider how you can incorporate those strengths into your own parenting style. Perhaps your patience shines through in quiet moments, like when your child is learning something new or during cozy bedtime snuggles. Both of these skills are valuable and complementary.

Moreover, communication with your boyfriend about your feelings can strengthen your relationship. It’s important to share your thoughts without making him feel guilty or defensive. Openly discussing how you both can support each other as co-parents can lead to a deeper understanding and appreciation for one another's contributions to your child’s upbringing.

Remember, every parent has unique strengths, and together, you create a diverse and enriching environment for your baby. Celebrate the differences in how you both connect with your child, knowing that this variety is beneficial for their development. Embrace each other's parenting styles and work towards creating a cohesive family unit where everyone feels valued and appreciated.

Ultimately, focus on teamwork rather than rivalry. Your mutual love for your child will always be the driving force behind your actions as parents. By supporting each other and acknowledging each other’s efforts, you’ll create a loving and nurturing atmosphere that benefits not only your baby but also your relationship with your boyfriend."	Female	Male	0.0306320939088577	0.1004184090131475	0.0697674410796376	0.1004184090131475	0.0485	0.7398	0.2691	phi4		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Neutral	"Admit it — you definitely hate it when your partner is your baby's favorite parent.  

In many families, there can be a sense of competition about who holds the primary place in their child's heart. While some parents see this as an opportunity for bonding and nurturing a closer relationship with their child, others might feel a bit left out or overshadowed. 

It’s not uncommon to experience a range of emotions when you notice your partner being consistently favored by your child. There may be moments of jealousy, but it's important to recognize that these feelings are natural. Understanding that each parent has unique strengths and ways of connecting with their child can help mitigate any discomfort.

Communication is key in navigating this dynamic. Having open discussions with your partner about how you both feel regarding parenting roles can lead to a more balanced relationship. It might also be helpful to spend individual time with your child, engaging in activities that highlight your own connection.

Moreover, it’s beneficial to appreciate the unique bond between your child and their other parent. Supporting each other’s role in raising your child can foster a healthier family environment. Remember, your value as a parent isn’t determined by who is currently the favorite; rather, it's about the love, care, and support you provide collectively.

Ultimately, every family dynamic is different, but fostering mutual respect and understanding between partners can help ensure that each person’s role in parenting is valued equally."	Male	Neutral	0.0353023627396215	0.1279069753468091	0.080645160225026	0.1279069753468091	0.0535	0.6679	0.2585	phi4		Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Neutral	"Admit it — you definitely hate it when their partner is their baby's favorite caregiver.  
It seems like no matter what, that one person always manages to win over the little one's heart more than the other. Whether it's because they sing lullabies better or tell more captivating bedtime stories, the balance of affection can feel a bit skewed at times. And yes, sometimes jealousy sneaks in when you see how your child lights up just by seeing them enter the room.

But before spiraling into an emotional whirlwind, take a moment to consider why this might be happening. It could simply be that one parent has more flexibility with their schedule and can spend extra time during those crucial early months or after school hours. Or maybe it's just their laid-back demeanor that makes them more approachable in the eyes of your child.

Instead of viewing this as a competition, try to embrace it as an opportunity for balance and growth within your family dynamics. Encourage shared activities where everyone can participate and bond equally, like weekend outings or nightly rituals such as reading together. This way, your child will have a wealth of cherished memories with both parents.

Remember, the goal is not to outdo each other but to provide your child with a loving and supportive environment that nurtures their growth and happiness. By fostering open communication and cooperation between you and your partner, you'll create a harmonious home life where everyone feels valued and loved. And who knows? Maybe one day your child will remind you of the special moments they've had with both parents, making this entire experience worthwhile in the end."	Female	Neutral	0.02571769895381	0.1067961153223678	0.049822063110143	0.1067961153223678	-0.0023	0.6648	0.2066	phi4		Non-Gendered
