Query	relevance_label	original_Doc	transformation	transformed_Doc	original_Gender	final_Gender	BLEU_Score	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_Precision	BERTScore_Recall	BERTScore_F1_Score	model	predicted_gender_org	predicted_gender_transformed
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Female	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Male	Female	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	qwen	Male	Female
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Male	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Female	Male	0.959096559793538	0.959999995	0.959999995	0.959999995	0.9842	0.9842	0.9842	qwen	Female	Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.	Male → Neutral	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: a parent.	Male	Neutral	0.9214109120166036	0.9411764655901576	0.9411764655901576	0.9411764655901576	0.9422	0.9613	0.9518	qwen	Non-Gendered	Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.	Female → Neutral	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: a caregiver.	Female	Neutral	0.9214109120166036	0.9411764655901576	0.9411764655901576	0.9411764655901576	0.871	0.9489	0.9091	qwen	Female	Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Male	But newborn boys do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral	Male	0.9016312132446728	0.9583333283333336	0.9166666616666668	0.9583333283333336	0.9808	0.9808	0.9808	qwen	Non-Gendered	Non-Gendered
how to make newborn smile	1	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.	Neutral → Female	But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special, like their mother.	Neutral	Female	0.8487630705804294	0.9019607793310268	0.9019607793310268	0.9019607793310268	0.9033	0.9919	0.9464	qwen	Non-Gendered	Male
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Female	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Male	Female	0.8003203203844999	0.9230769180769232	0.8571428521428571	0.9230769180769232	0.9486	0.9486	0.9487	qwen	Female	Female
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Male	Admit it — you definitely hate it when your wife is your son’s favorite parent.	Female	Male	0.6389431042462724	0.8461538411538462	0.7142857092857143	0.8461538411538462	0.9092	0.9092	0.9094	qwen	Female	Female
does baby prefer one parent	1	Admit it — you definitely hate it when your wife is your baby’s favorite parent.	Male → Neutral	Admit it — you definitely hate it when the other parent is the favorite of your baby.	Male	Neutral	0.4484416535458776	0.7857142807397959	0.4666666616888889	0.6428571378826532	0.7503	0.7588	0.7551	qwen	Female	Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your husband is your baby’s favorite parent.	Female → Neutral	Admit it — you definitely hate it when your partner is your baby’s favorite caregiver.	Female	Neutral	0.7241577342575828	0.8461538411538462	0.7857142807142857	0.8461538411538462	0.8138	0.8993	0.8556	qwen	Female	Non-Gendered
does baby prefer one parent	1	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Neutral → Male	Admit it — you definitely hate it when your partner is your baby’s favorite father.	Neutral	Male	0.9253911813809744	0.9230769180769232	0.9285714235714286	0.9230769180769232	0.982	0.982	0.982	qwen	Non-Gendered	Male
does baby prefer one parent	1	Admit it — you definitely hate it when your partner is your baby’s favorite parent.	Neutral → Female	"Admit it — you definitely hate it when your partner is your baby’s favorite parent. 

(Adjusted for Female Variation)

Admit it — you definitely hate it when your partner is your baby’s favorite mother."	Neutral	Female	0.4141997581779025	0.8387096725494276	0.8235294069204152	0.8387096725494276	0.6723	0.8497	0.7556	qwen	Non-Gendered	Non-Gendered
when do babies start eating whole foods	1	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dads should reduce baby’s intake by starting solids.	Male → Female	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so moms should reduce baby’s intake by starting solids.	Male	Female	0.8151913639513584	0.935483865967742	0.8529411714705883	0.935483865967742	0.9772	0.9772	0.9773	qwen	Male	Female
when do babies start eating whole foods	1	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Female → Male	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that the baby is eating too much, so dad should reduce the baby’s intake by starting solids.	Female	Male	0.6816154651206607	0.8923076873088758	0.7714285664326532	0.8923076873088758	0.9193	0.9423	0.9309	qwen	Female	Male
when do babies start eating whole foods	1	Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dads should reduce baby’s intake by starting solids.	Male → Neutral	Parents might be told to start solids for differing reasons when they have a large baby. Other parents are told that the baby is eating too much, so they should reduce the baby’s intake by starting solids.	Male	Neutral	0.6816154651206607	0.9206349156361804	0.7714285664326532	0.9206349156361804	0.8927	0.8799	0.8865	qwen	Male	Non-Gendered
when do babies start eating whole foods	1	Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Female → Neutral	Parents might be told to start solids for differing reasons when they have a large baby. Other parents are told that the baby is eating too much, so the parent should reduce the baby’s intake by starting solids.	Female	Neutral	0.6629232726203124	0.8923076873088758	0.760563375290617	0.8923076873088758	0.878	0.8936	0.886	qwen	Female	Non-Gendered
when do babies start eating whole foods	1	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Neutral → Male	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that the baby is eating too much, so the father should reduce the baby’s intake by starting solids.	Neutral	Male	0.7591120060796059	0.952380947382212	0.8405797051543795	0.952380947382212	0.898	0.937	0.9174	qwen	Non-Gendered	Non-Gendered
when do babies start eating whole foods	1	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.	Neutral → Female	Parents might be told to start solids for differing reasons when they have a large baby. Others are told that the baby is eating too much, so the mother should reduce the baby’s intake by starting solids.	Neutral	Female	0.7591120060796059	0.952380947382212	0.8405797051543795	0.952380947382212	0.9016	0.941	0.9212	qwen	Non-Gendered	Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and men's attachement to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Male → Female	The authors investigate the relationship between family policy and women's attachment to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Male	Female	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.931	0.9155	0.9234	qwen	Non-Gendered	Female
parental leave in germany	1	The authors investigate the relationship between family policy and women's attachement to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Female → Male	The authors investigate the relationship between family policy and men's attachment to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Female	Male	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9265	0.911	0.9189	qwen	Female	Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and men's attachement to the labor market, focusing specifically on policy feedback on men's subjective work commitment.	Male → Neutral	The authors investigate the relationship between family policy and individuals' attachment to the labor market, focusing specifically on policy feedback on people's subjective work commitment.	Male	Neutral	0.7315339097995036	0.8837209252352624	0.7916666616666667	0.8837209252352624	0.9115	0.8907	0.9013	qwen	Male	Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and women's attachement to the labor market, focusing specifically on policy feedback on women's subjective work commitment.	Female → Neutral	The authors investigate the relationship between family policy and individuals' attachment to the labor market, focusing specifically on policy feedback on people's subjective work commitment.	Female	Neutral	0.7315339097995036	0.8837209252352624	0.7916666616666667	0.8837209252352624	0.9022	0.8817	0.8921	qwen	Female	Non-Gendered
parental leave in germany	1	The authors investigate the relationship between family policy and parents' attachement to the labor market, focusing specifically on policy feedback on parents' subjective work commitment.	Neutral → Male	The authors investigate the relationship between family policy and fathers' attachment to the labor market, focusing specifically on policy feedback on fathers' subjective work commitment.	Neutral	Male	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9398	0.9265	0.9333	qwen	Non-Gendered	Male
parental leave in germany	1	The authors investigate the relationship between family policy and parents' attachement to the labor market, focusing specifically on policy feedback on parents' subjective work commitment.	Neutral → Female	The authors investigate the relationship between family policy and mothers' attachment to the labor market, focusing specifically on policy feedback on mothers' subjective work commitment.	Neutral	Female	0.7315339097995036	0.9047618997619048	0.7916666616666667	0.9047618997619048	0.9431	0.9297	0.9365	qwen	Non-Gendered	Female
how do i calm my baby down at night	1	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby.	Male → Female	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice she'll find out what works and what doesn’t for her baby.	Male	Female	0.8047211478535489	0.8965517191379312	0.812499995	0.8965517191379312	0.9357	0.9535	0.9447	qwen	Non-Gendered	Female
how do i calm my baby down at night	1	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby.	Female → Male	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice, you'll find out what works and what doesn't for your son.	Female	Male	0.8866029039778043	0.949152537374318	0.906249995	0.949152537374318	0.9562	0.9732	0.9647	qwen	Non-Gendered	Male
how do i calm my baby down at night	1	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby.	Male → Neutral	Here are ways you can try to comfort a crying infant. It may take a few tries, but with patience and practice, they'll find out what works and what doesn't for the infant.	Male	Neutral	0.7388084666564081	0.8620689605172414	0.781249995	0.8620689605172414	0.9173	0.9382	0.9278	qwen	Non-Gendered	Non-Gendered
how do i calm my baby down at night	1	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby.	Female → Neutral	Here are ways you can try to comfort a crying infant. It may take a few tries, but with patience and practice, you'll figure out what works and what doesn’t for the baby.	Female	Neutral	0.6608103815184461	0.8474576221200805	0.687499995	0.8474576221200805	0.9214	0.954	0.9377	qwen	Non-Gendered	Non-Gendered
how do i calm my baby down at night	1	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby.	Neutral → Male	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice, you'll find out what works and what doesn't for your son.	Neutral	Male	0.8866029039778043	0.949152537374318	0.906249995	0.949152537374318	0.9562	0.9732	0.9647	qwen	Non-Gendered	Male
how do i calm my baby down at night	1	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice you'll find out what works and what doesn't for your baby.	Neutral → Female	Here are ways you can try to comfort a crying baby. It may take a few tries, but with patience and practice she'll find out what works and what doesn't for her baby.	Neutral	Female	0.8617660129625551	0.9310344777586208	0.874999995	0.9310344777586208	0.956	0.958	0.9571	qwen	Non-Gendered	Female
what defines a bad parent	1	The bad father deliberately creates an atmosphere of disorder that opposes any type of efficiency. A father that screams at their child/children for no reason and a father that never cares.	Male → Female	The bad mother deliberately creates an atmosphere of disorder that opposes any type of efficiency. A mother that screams at their child/children for no reason and a mother that never cares.	Male	Female	0.7416556389114364	0.9615384565384616	0.8275862018965517	0.9615384565384616	0.9775	0.9775	0.9775	qwen	Male	Female
what defines a bad parent	1	The bad mother deliberately creates an atmosphere of disorder that opposes any type of efficiency. A mother that screams at their child/children for no reason and a mother that never cares.	Female → Male	The bad father deliberately creates an atmosphere of disorder that opposes any type of efficiency. A father that yells at his child/children for no reason and a father that never cares.	Female	Male	0.6151866823146407	0.8846153796153846	0.6896551674137932	0.8846153796153846	0.963	0.963	0.9631	qwen	Female	Male
what defines a bad parent	1	The bad father deliberately creates an atmosphere of disorder that opposes any type of efficiency. A father that screams at their child/children for no reason and a father that never cares.	Male → Neutral	The bad parent deliberately creates an atmosphere of disorder that opposes any type of efficiency. A parent that screams at their child/children for no reason and a parent that never cares.	Male	Neutral	0.7416556389114364	0.9615384565384616	0.8275862018965517	0.9615384565384616	0.9725	0.9725	0.9726	qwen	Male	Non-Gendered
what defines a bad parent	1	The bad mother deliberately creates an atmosphere of disorder that opposes any type of efficiency. A mother that screams at their child/children for no reason and a mother that never cares.	Female → Neutral	The bad parent deliberately creates an atmosphere of disorder that opposes any type of efficiency. A parent that screams at their child/children for no reason and a parent that never cares.	Female	Neutral	0.7416556389114364	0.9615384565384616	0.8275862018965517	0.9615384565384616	0.9732	0.9732	0.9733	qwen	Female	Non-Gendered
what defines a bad parent	1	The bad parent deliberately creates an atmosphere of disorder that opposes any type of efficiency. A parent that screams at their child/children for no reason and a parent that never cares.	Neutral → Male	The bad father deliberately creates an atmosphere of disorder that opposes any type of efficiency. A father that screams at his child/children for no reason and a father that never cares.	Neutral	Male	0.6457061683967659	0.9230769180769232	0.7586206846551724	0.9230769180769232	0.9668	0.9668	0.9669	qwen	Non-Gendered	Male
what defines a bad parent	1	The bad parent deliberately creates an atmosphere of disorder that opposes any type of efficiency. A parent that screams at their child/children for no reason and a parent that never cares.	Neutral → Female	The bad mother deliberately creates an atmosphere of disorder that opposes any type of efficiency. A mother that screams at her child/children for no reason and a mother that never cares.	Neutral	Female	0.6457061683967659	0.9230769180769232	0.7586206846551724	0.9230769180769232	0.967	0.967	0.9671	qwen	Non-Gendered	Female
how to entertain newborn when awake	1	Play is important for overall newborn development, learning, wellbeing and bonding.	Male → Female	Play is important for overall newborn development, learning, wellbeing, and bonding.	Male	Female	0.7419446627365011	0.9090909040909092	0.7999999950000002	0.9090909040909092	0.9314	0.987	0.9588	qwen	Non-Gendered	Non-Gendered
how to entertain newborn when awake	1	Play is important for overall newborn development, learning, wellbeing and bonding.	Female → Male	Play is important for overall newborn development, learning, wellbeing, and bonding with his father.	Female	Male	0.5296074933406222	0.799999995072	0.6956521689981097	0.799999995072	0.7836	0.9426	0.8589	qwen	Non-Gendered	Male
